TitleNumber,Title,WtrPubIndicator,PubType,Participant,Share,IPNameNumber,CurrentAffliation,RegistrationDate,RegistrationOrigin,ISWCNumber,SongviewStatus
67286338,TEAR UP,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",05/04/2024,WORKS REGISTRATION,T3253356939,Pending Society Review
67286338,TEAR UP,W," ",BRAY LEIGH,200.00,01017500116,"BMI     ",05/04/2024,WORKS REGISTRATION,T3253356939,Pending Society Review
67286369,RUSH,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",05/04/2024,WORKS REGISTRATION,T3253357067,Reconciled
67286369,RUSH,W," ",BRAY LEIGH,200.00,01017500116,"BMI     ",05/04/2024,WORKS REGISTRATION,T3253357067,Reconciled
67286411,OLD SCHOOL,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",05/04/2024,WORKS REGISTRATION,T3253356439,Reconciled
67286411,OLD SCHOOL,W," ",BRAY LEIGH,100.00,01017500116,"BMI     ",05/04/2024,WORKS REGISTRATION,T3253356439,Reconciled
67286411,OLD SCHOOL,W," ",SHAHEEN SIMON MICHAEL MR,100.00,01161004906,"BMI     ",05/04/2024,WORKS REGISTRATION,T3253356439,Reconciled
67286426,BASS SLAP,P,O,MANUSCRIPT,0.00,00686021835,"NA      ",05/04/2024,WORKS REGISTRATION,T3253356462,Reconciled
67286426,BASS SLAP,W," ",THORNTON BROCK ALEXANDER,100.00,00783592596,"BMI     ",05/04/2024,WORKS REGISTRATION,T3253356462,Reconciled
67286426,BASS SLAP,W," ",BRAY LEIGH,100.00,01017500116,"BMI     ",05/04/2024,WORKS REGISTRATION,T3253356462,Reconciled
69422172,BLUNTS ON EM,W," ",BRAY LEIGH,100.00,01017500116,"BMI     ",09/06/2024,WORKS REGISTRATION,T3276045564,Reconciled
69422172,BLUNTS ON EM,P,O,SONGTRUST BLVD,100.00,00615755145,"BMI     ",09/06/2024,WORKS REGISTRATION,T3276045564,Reconciled
69422970,SPACESHIP,W," ",BRAY LEIGH,100.00,01017500116,"BMI     ",09/06/2024,WORKS REGISTRATION,T3276044301,Pending Society Review
69422970,SPACESHIP,P,O,SONGTRUST BLVD,100.00,00615755145,"BMI     ",09/06/2024,WORKS REGISTRATION,T3276044301,Pending Society Review
69424883,5 0,W," ",BRAY LEIGH,100.00,01017500116,"BMI     ",09/06/2024,WORKS REGISTRATION,T3276134175,Reconciled
69424883,5 0,P,O,SONGTRUST BLVD,100.00,00615755145,"BMI     ",09/06/2024,WORKS REGISTRATION,T3276134175,Reconciled
