"Reporting Period",Label,"Release Name","Release Version","Release Artists","UPC Code",Catalogue,"Track Title","Mix Version","ISRC Code","Track Artists","Digital Service Provider","Activity Period",Territory,Delivery,"Content Type","Sale or Void",Count,"Royalty ($US)"
AUG-24,"DirtySnatcha Records",WESTCOAST,,"BBX, Geeku",198342494684,DSR0049A,WESTCOAST,,QZ5FN2235968,"BBX, Geeku","Amazon Prime","August 2024",DEU,Streaming,Single,Sale,1,0.001546000000
AUG-24,"DirtySnatcha Records",WTF,,"BBX, Sloth",198342356135,DSR131,WTF,,GBRKQ2471312,"BBX, Sloth","Amazon Prime","August 2024",DEU,Streaming,Single,Sale,1,0.001546000000
AUG-24,"DirtySnatcha Records","Back Rooms",,"In Orbit Dubz",198342498644,DSR0077A,"Back Rooms",,QZWDD2257316,"In Orbit Dubz","Amazon Prime","August 2024",AUT,Streaming,Single,Sale,1,0.001547000000
AUG-24,"DirtySnatcha Records","Fog Horn",,DENNETT,198342502969,DSR0074A,"Fog Horn",,QZTRX2237730,DENNETT,Spotify,"August 2024",ARG,Streaming,Single,Sale,2,0.001552000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"Let Go",,USLZJ2405592,CRiiOZ,Spotify,"August 2024",IND,Streaming,Single,Sale,1,0.001552000000
AUG-24,"DirtySnatcha Records","Spectre Season",,Artifact,198342479643,DSR0101A,"Spectre Season",,QZWDD2336449,Artifact,Spotify,"August 2024",CAN,Streaming,Single,Sale,1,0.001557000000
AUG-24,"DirtySnatcha Records",Scorpion,,Torcha,198342501160,DSR0057A,Scorpion,,GBRKQ2202745,Torcha,Spotify,"August 2024",CAN,Streaming,Single,Sale,1,0.001557000000
AUG-24,"DirtySnatcha Records","Giving Up VIP",,"CHRMNDRS, SEEING\\DOUBLE",198342492154,DSR0044A,"Giving Up VIP",,GBWUL2158623,"CHRMNDRS, SEEING\\DOUBLE",Spotify,"August 2024",CAN,Streaming,Single,Sale,1,0.001557000000
AUG-24,"DirtySnatcha Records",Bloodthirsty,,Howker,198342475331,DSR0004A,Bloodthirsty,,GBWUL1958037,Howker,Spotify,"August 2024",BRA,Streaming,Single,Sale,1,0.001557000000
AUG-24,"DirtySnatcha Records","Out Of Service",,"Autokorekt, ChemDawg",198342492215,DSR0046A,"Out Of Service",,GBWUL2192863,"Autokorekt, ChemDawg, Versace",Spotify,"August 2024",CAN,Streaming,Single,Sale,1,0.001557000000
AUG-24,"DirtySnatcha Records","Eight Six",,BBX,198342480014,DSR0092A,"Eight Six",,QZTV32366095,BBX,Snap,"August 2024",FRA,Streaming,"User Generated Content",Sale,1,0.001558000000
AUG-24,"DirtySnatcha Records",Tartarus,,CRiiOZ,198342042182,DSR127,"In The Walls",,USLZJ2405562,CRiiOZ,Spotify,"August 2024",CHL,Streaming,Single,Sale,2,0.001562000000
AUG-24,"DirtySnatcha Records","GO MAD",,"DSTRTN, CRiiOZ",198342500286,DSR0056A,"GO MAD",,USLZJ2297741,"DSTRTN, CRiiOZ",Spotify,"August 2024",MEX,Streaming,Single,Sale,2,0.001563000000
AUG-24,"DirtySnatcha Records","Westside Rollin","CHRMNDRS Remix",DirtySnatcha,198342475133,DSR0003A,"Westside Rollin","CHRMNDRS Remix",GBWUL1920889,"DirtySnatcha, CHRMNDRS","Amazon Music Unlimited","August 2024",USA,Streaming,Single,Sale,1,0.001566000000
