PRIMARY TITLE *,MLC SONG CODE,MEMBERS SONG ID,ISWC          ,AKA TITLE †,AKA TITLE TYPE CODE †,WRITER LAST NAME *,WRITER FIRST NAME ,WRITER IPI NUMBER,WRITER ROLE CODE *,MLC PUBLISHER NUMBER,PUBLISHER NAME *,PUBLISHER IPI NUMBER *,ADMINISTRATOR MLC PUBLISHER NUMBER,ADMINISTRATOR NAME †,COLLECTION SHARE *,RECORDING TITLE †,RECORDING ARTIST NAME †,RECORDING ISRC,RECORDING LABEL
Need U,,DSR-034,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,Need U,DirtySnatcha,QZ5FN2012069,DirtySnatcha
Need U (Dobadly Remix),,DSR-035,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,16.67,Need U (Dobadly Remix),DirtySnatcha,QZWDD2263341,DirtySnatcha Records
Not Letting Go,,DSR-036,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Not Letting Go,DirtySnatcha,QM42K1941324,DirtySnatcha
Nu Fire,,DSR-037,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,Nu Fire,DirtySnatcha,QM42K1895336,DirtySnatcha
Old School,,DSR-038,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,Old School,DirtySnatcha,GBRKQ2277569,DirtySnatcha
Pack Gats,,DSR-039,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Pack Gats,DirtySnatcha,QM42K1601430,DirtySnatcha
Pimpin,,DSR-071,T3303256062,,,Bray,Leigh,01017500116,CA,,LAB10 Publishing,1262829440,,,100,Pimpin,DirtySnatcha,,DirtySnatcha
Price Wasted,,DSR-040,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,Price Wasted,DirtySnatcha,QZ5FN1978630,DirtySnatcha
Rollercoaster,,DSR-072,T3252386639,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Rollercoaster,DirtySnatcha,,DirtySnatcha
Run It Up,,DSR-073,T3303169504,,,Bray,Leigh,01017500116,CA,,LAB10 Publishing,1262829440,,,100,Run It Up,DirtySnatcha,,DirtySnatcha
Rush,,DSR-041,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Rush,DirtySnatcha,QM42K1815208,DirtySnatcha
Set Me Free,,DSR-074,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Set Me Free,DirtySnatcha,USLZJ1903529,DirtySnatcha
Shake The Block,,DSR-075,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Shake The Block,DirtySnatcha,USLZJ1922758,DirtySnatcha
Shatter,,DSR-076,T3303256197,,,Bray,Leigh,01017500116,CA,,LAB10 Publishing,1262829440,,,100,Shatter,DirtySnatcha,,DirtySnatcha
She Bangs Like a Fairy on Acid,,DSR-077,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,50,She Bangs Like a Fairy on Acid,DirtySnatcha,QZZ8A2432901,DirtySnatcha
SKRRR,,DSR-042,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,SKRRR,DirtySnatcha,QM42K1824431,DirtySnatcha
Smoke Dat,,DSR-043,,,,Bray,Leigh,01017500116,CA,,DirtySnatcha Records Publishing,1238282844,,,100,Smoke Dat,DirtySnatcha,QM42K1953240,DirtySnatcha
